n,m,p,w,optimal_solution,calc_time,gap,cuts,objective_value
10,5,0.8,5,integer infeasible,0.015000000013969839,,,
10,5,0.8,5,integer infeasible,0.01600000006146729,,,
10,5,0.8,5,integer infeasible,0.01600000006146729,,,
10,5,0.8,5,integer infeasible,0.015000000013969839,,,
10,5,0.8,5,integer infeasible,0.01600000006146729,,,
10,5,1.0,1,integer optimal solution,0.03100000007543713,0.0,0,3.0
10,5,1.0,1,integer optimal solution,0.045999999972991645,0.0,0,2.0
10,5,1.0,1,integer optimal solution,0.0,0.0,0,0.0
10,5,1.0,1,integer optimal solution,0.03100000007543713,0.0,0,2.0
10,5,1.0,1,integer optimal solution,0.030999999959021807,0.0,0,2.0
10,5,1.0,1,integer optimal solution,0.03100000007543713,0.0,0,1.0
10,5,1.0,1,integer optimal solution,0.03200000000651926,0.0,0,1.0
10,5,1.0,1,integer optimal solution,0.030999999959021807,0.0,0,3.0
10,5,1.0,1,integer optimal solution,0.03200000000651926,0.0,0,4.0
10,5,1.0,1,integer optimal solution,0.03100000007543713,0.0,0,1.0
10,5,1.0,10,integer infeasible,0.015999999945051968,,,
10,5,1.0,10,integer infeasible,0.015999999945051968,,,
10,5,1.0,10,integer infeasible,0.015999999945051968,,,
10,5,1.0,10,integer infeasible,0.015000000013969839,,,
10,5,1.0,10,integer infeasible,0.015000000013969839,,,
10,5,1.0,10,integer infeasible,0.015000000013969839,,,
10,5,1.0,10,integer infeasible,0.0,,,
10,5,1.0,10,integer infeasible,0.03100000007543713,,,
10,5,1.0,10,integer infeasible,0.015999999945051968,,,
10,5,1.0,10,integer infeasible,0.015999999945051968,,,
10,5,1.0,5,integer infeasible,0.01600000006146729,,,
10,5,1.0,5,integer infeasible,0.015999999945051968,,,
10,5,1.0,5,integer infeasible,0.03200000000651926,,,
10,5,1.0,5,integer infeasible,0.01600000006146729,,,
10,5,1.0,5,integer infeasible,0.015999999945051968,,,
10,5,1.0,5,integer infeasible,0.015999999945051968,,,
10,5,1.0,5,integer infeasible,0.01600000006146729,,,
10,5,1.0,5,integer infeasible,0.015999999945051968,,,
10,5,1.0,5,integer infeasible,0.01600000006146729,,,
10,5,1.0,5,integer infeasible,0.03100000007543713,,,
10,7,0.6,1,integer optimal solution,0.015999999945051968,0.0,0,0.0
10,7,0.6,1,integer optimal solution,0.015999999945051968,0.0,0,1.0
10,7,0.6,1,integer optimal solution,0.01600000006146729,0.0,0,0.0
10,7,0.6,1,integer optimal solution,0.03100000007543713,0.0,0,1.0
10,7,0.6,1,integer optimal solution,0.015999999945051968,0.0,0,0.0
10,7,0.6,1,integer optimal solution,0.015999999945051968,0.0,0,1.0
10,7,0.6,1,integer optimal solution,0.01600000006146729,0.0,0,0.0
10,7,0.6,1,integer optimal solution,0.0,0.0,0,0.0
10,7,0.6,1,integer optimal solution,0.01600000006146729,0.0,0,0.0
10,7,0.6,1,integer optimal solution,0.015000000013969839,0.0,0,0.0
10,7,0.6,10,integer infeasible,0.01600000006146729,,,
10,7,0.6,10,integer infeasible,0.03200000000651926,,,
10,7,0.6,10,integer infeasible,0.015000000013969839,,,
10,7,0.6,10,integer infeasible,0.015999999945051968,,,
10,7,0.6,10,integer infeasible,0.015000000013969839,,,
10,7,0.6,10,integer infeasible,0.01600000006146729,,,
10,7,0.6,10,integer infeasible,0.01600000006146729,,,
10,7,0.6,10,integer infeasible,0.030999999959021807,,,
10,7,0.6,10,integer infeasible,0.015000000013969839,,,
10,7,0.6,10,integer infeasible,0.015000000013969839,,,
10,7,0.6,5,integer optimal solution,0.07900000002700835,0.0,0,13.0
10,7,0.6,5,integer optimal solution,0.10999999998603016,0.0,0,15.0
10,7,0.6,5,integer optimal solution,0.1720000000204891,0.0,0,19.0
10,7,0.6,5,integer optimal solution,0.2029999999795109,0.0,0,18.0
10,7,0.6,5,integer optimal solution,0.06299999996554106,0.0,0,12.0
10,7,0.6,5,integer optimal solution,0.10900000005494803,0.0,0,17.0
10,7,0.6,5,integer optimal solution,0.32900000002700835,0.0,0,14.0
10,7,0.6,5,integer optimal solution,0.25,0.0,0,19.0
10,7,0.6,5,integer optimal solution,0.03100000007543713,0.0,0,7.0
10,7,0.6,5,integer optimal solution,0.1720000000204891,0.0,0,18.0
10,7,0.8,1,integer optimal solution,0.015000000013969839,0.0,0,0.0
10,7,0.8,1,integer optimal solution,0.0,0.0,0,0.0
10,7,0.8,1,integer optimal solution,0.015000000013969839,0.0,0,0.0
10,7,0.8,1,integer optimal solution,0.015000000013969839,0.0,0,1.0
10,7,0.8,1,integer optimal solution,0.015999999945051968,0.0,0,2.0
10,7,0.8,1,integer optimal solution,0.01600000006146729,0.0,0,1.0
10,7,0.8,1,integer optimal solution,0.015000000013969839,0.0,0,1.0
10,7,0.8,1,integer optimal solution,0.015000000013969839,0.0,0,1.0
10,7,0.8,1,integer optimal solution,0.015999999945051968,0.0,0,1.0
10,7,0.8,1,integer optimal solution,0.01600000006146729,0.0,0,0.0
10,7,0.8,10,integer infeasible,0.030999999959021807,,,
10,7,0.8,10,integer infeasible,0.01600000006146729,,,
10,7,0.8,10,integer infeasible,0.03100000007543713,,,
10,7,0.8,10,integer infeasible,0.015999999945051968,,,
10,7,0.8,10,integer infeasible,0.03200000000651926,,,
10,7,0.8,10,integer infeasible,0.030999999959021807,,,
10,7,0.8,10,integer infeasible,0.030999999959021807,,,
10,7,0.8,10,integer infeasible,0.015999999945051968,,,
10,7,0.8,10,integer infeasible,0.015999999945051968,,,
10,7,0.8,10,integer infeasible,0.015000000013969839,,,
10,7,0.8,5,integer infeasible,0.01600000006146729,,,
10,7,0.8,5,integer infeasible,0.01600000006146729,,,
10,7,0.8,5,integer optimal solution,0.1559999999590218,0.0,0,37.0
10,7,0.8,5,integer infeasible,0.01600000006146729,,,
10,7,0.8,5,integer infeasible,0.030999999959021807,,,
10,7,0.8,5,integer infeasible,0.10899999993853271,,,
10,7,0.8,5,integer optimal solution,0.1720000000204891,0.0,0,31.0
10,7,0.8,5,integer infeasible,0.03200000000651926,,,
10,7,0.8,5,integer infeasible,0.015999999945051968,,,
10,7,0.8,5,integer infeasible,0.01600000006146729,,,
10,7,1.0,1,integer optimal solution,0.0,0.0,0,0.0
10,7,1.0,1,integer optimal solution,0.01600000006146729,0.0,0,0.0
10,7,1.0,1,integer optimal solution,0.015999999945051968,0.0,0,0.0
10,7,1.0,1,integer optimal solution,0.0,0.0,0,0.0
10,7,1.0,1,integer optimal solution,0.015000000013969839,0.0,0,0.0
10,7,1.0,1,integer optimal solution,0.01600000006146729,0.0,0,0.0
10,7,1.0,1,integer optimal solution,0.0,0.0,0,0.0
10,7,1.0,1,integer optimal solution,0.01600000006146729,0.0,0,1.0
10,7,1.0,1,integer optimal solution,0.0,0.0,0,0.0
10,7,1.0,1,integer optimal solution,0.0,0.0,0,0.0
10,7,1.0,10,integer infeasible,0.030999999959021807,,,
10,7,1.0,10,integer infeasible,0.015000000013969839,,,
10,7,1.0,10,integer infeasible,0.015999999945051968,,,
10,7,1.0,10,integer infeasible,0.015999999945051968,,,
10,7,1.0,10,integer infeasible,0.015999999945051968,,,
10,7,1.0,10,integer infeasible,0.01600000006146729,,,
10,7,1.0,10,integer infeasible,0.030999999959021807,,,
10,7,1.0,10,integer infeasible,0.03200000000651926,,,
10,7,1.0,10,integer infeasible,0.03200000000651926,,,
10,7,1.0,10,integer infeasible,0.030999999959021807,,,
10,7,1.0,5,integer infeasible,0.03100000007543713,,,
10,7,1.0,5,integer infeasible,0.015999999945051968,,,
10,7,1.0,5,integer infeasible,0.015000000013969839,,,
10,7,1.0,5,integer infeasible,0.03200000000651926,,,
10,7,1.0,5,integer infeasible,0.015999999945051968,,,
10,7,1.0,5,integer infeasible,0.030999999959021807,,,
10,7,1.0,5,integer infeasible,0.03100000007543713,,,
10,7,1.0,5,integer infeasible,0.015000000013969839,,,
10,7,1.0,5,integer infeasible,0.015999999945051968,,,
10,7,1.0,5,integer infeasible,0.015999999945051968,,,
10,9,0.6,1,integer optimal solution,0.015000000013969839,0.0,0,0.0
